Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_162.jpg;8.884461;0;0;1.620306;106.34;88.38997;359.7873;11.69225;0.4791589
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_227.jpg;5.87738;0;0;1.609675;106.4339;88.4134;359.8115;12.37566;0.5404564
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_292.jpg;2.896521;0;0;1.60491;106.5276;88.43607;359.8311;12.76141;0.5652094
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_357.jpg;0;0;0;1.599936;106.6212;88.45738;359.845;12.84072;0.5429962
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_425.jpg;0;0;0;1.594446;106.7453;88.48556;359.8505;12.84889;0.4969236
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_488.jpg;0;0;0;1.587339;106.838;88.50661;359.8486;12.84905;0.4529222
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_557.jpg;0;0;0;1.581993;106.9302;88.52761;359.8405;12.84921;0.4039768
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_623.jpg;0;0;0;1.576702;107.0525;88.55548;359.8216;12.84942;0.3331704
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_688.jpg;0;0;0;1.569657;107.1438;88.57631;359.8027;12.84955;0.2777001
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_753.jpg;0;0;0;1.564377;107.2347;88.59706;359.7809;12.84966;0.2216439
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_820.jpg;0;0;0;1.559099;107.3253;88.61774;359.7574;12.84974;0.1661887
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_886.jpg;0;0;0;1.553821;107.4455;88.64523;359.7248;12.84982;0.09500727
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_950.jpg;0;0;0;1.546788;107.5354;88.66578;359.7007;12.84985;0.04487471
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_56_014.jpg;0;0;0;1.541516;107.6249;88.68627;359.6775;12.84985;-0.001621182
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_56_080.jpg;0;0;0;1.536248;107.7143;88.70685;359.664;12.85304;359.9647
